Round 4

Table  Player                       Opponent                     Points  
-------------------------------------------------------------------------------
1      damion reilly               Phil iwanow                  9-12    
2      Andrew Gallien               Milo Brown                   9-12    
3      Nathan Choi                  Anthony Wilkinson            9-6     
4      Bradley Skubic               David Van Hise               9-6     
5      Kevin Petriello              Jonathon Torchia             6-9     
6      Devon O’Donnell              Hex Dowd                     9-6     
7      Brian Kennes                 Nathan Cormier               9-3     
8      Jack Henry                   Stella Burfeind              3-6     
9      Sean Marks                   Jarrod Haase                6-3     
10     Dani Masom                   Terry Eleftherakis           6-3     
11     Jackson D’Elia               Gina Millott                3-0     
